"group_id","lang_code","alt_name"
"d2c9bf71-14ab-4f7c-aae3-883eb1d7d488","en","Manga Dream4"
"9538d0b8-586d-4db4-bbd5-3e538da8ee9b","en","Ochaku na no Chimu"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Medallion Scans"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Merkai Scans"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Miraki Scans"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Merika Scans"
"15492cd4-70a2-4462-92d1-c011caa667a3","en","Solaris-SVU"
"e1c23f4c-593d-49c7-abd2-3c5efb23b3ff","en","Dreaming Scanlations"
"6ba68502-5f06-4115-9006-753109be1a9c","en","Disappointing Scanlations"
"e9f88de1-bdf0-4033-9f8f-6ce10fb4c9d0","en","Bushido Angel Adventures"
"fba00384-219a-4a4a-a720-0e0dea8df0c8","en","Kumoribi Scanlations"
"25131f77-7e19-46ef-bee5-2eb24444d432","en","S-ScanLation"
"640114af-8b0b-4862-9aa7-581cdd13a661","en","mojibake scans"
"0bb0c4ee-ab77-4350-a988-0664285a5e87","en","Phantom Team"
"e8038188-d79b-41f8-9a7d-717a73c014c9","en","Multiscans"
"ea7ccccd-a017-4869-a1d0-1214da609ce0","en","Magnificent Aurora Scans"
"dd155a93-c19d-4d52-a2f5-629fcecd569b","en","Yuusei"
"ca84d695-4e0e-48ba-8627-3cbb4f44f95b","en","R/Beastars Discord"
"79f230f4-8596-4f12-acdf-13cb2a24d6f3","en","Xiao's Yaoi Playground"
"d9e578a6-ba09-4cd3-ae5f-4350d154a182","en","Uns Negocios que Quero Postar Elevado ao Cubo Scan"
"8ecc2fce-9329-4205-94a3-796679b6e95b","en","School gaming"
"f6d5c912-0f5b-487c-a21b-fd37a052e3a8","en","Nanami Scanlator"
"4faa0899-4017-4c9f-bfa3-191aa4d375a1","en","Thanos"
"ef66b68b-fd69-490f-880e-b6d1627d75a1","en","KnS"
"921096d6-8040-455c-a903-0a5368fdfb39","en","Agent of Change Translations"
