"group_id","lang_code"
"c49144a2-6d55-4cc1-85b3-09cdbc02b8a3","en"
"fd40c6e7-8d45-4210-8ef6-5b599b0b24bd","ru"
"a5ba32a8-8fd1-49f3-8585-8992b2c9e320","pt-br"
"9f248f9d-a60d-4876-8e7f-961fe255b73f","en"
"6522a05b-e436-4c61-b2c7-c3368d695876","en"
"190cc759-42da-48ad-abf2-e7a7f8ecdc95","id"
"71db5af4-f977-4eb5-9ab1-3cfc4b1e7b12","id"
"c82c0ecb-29c3-43a3-b391-efa2af9901bf","en"
"bea58d0a-6d62-4f98-9ceb-bc508465daf7","en"
"a04ef72d-fee8-4368-bdf7-9355b6398c35","en"
"d9d15723-2190-4047-8f59-ba1edc7bcb46","zh-hk"
"19a15a37-5827-4da5-937a-41a50172cbf8","vi"
"c308c688-8294-4f5b-b076-2a87c26cab2d","en"
"e041ff38-b384-470b-9433-557261a76abc","en"
"c50ca369-bc9e-4d25-9542-0e5202045bb3","ar"
"a9f6f1dc-1e08-46e9-b6ff-817d8aa59fa7","en"
"8523f5eb-3250-4a48-8363-74afd20d6dc8","es-la"
"c29dccfb-bb37-40bd-936b-352c5f5f2dbf","en"
"070dfdc2-59ea-4561-b443-387e1e560072","es-la"
"2eed458c-b71f-4573-b495-d1c2653f1613","en"
"f2b4e620-1626-47e1-bef6-a86f721dd97d","en"
"c4e4d5aa-ce9e-4f1c-bc71-c7f4cc970386","en"
"916321cf-84ff-4e6c-a8a6-4ae70f81a0bb","en"
"32db9465-d635-48d7-b043-2207f03b9993","nl"
"985d9fc0-6b18-4130-b26d-5a5a63f74f98","en"
"e561e76c-8658-4509-8ed5-598d496d7060","fr"
"325ab02f-b137-4fc2-a2fb-3ec9ed5190d1","pt-br"
"e7a33604-1f8b-491c-b049-e3459415c72f","en"
"6c99dcc5-475f-4d31-aed4-56c62dab35bf","tr"
"26a9f22a-ec0d-4de4-885f-32c1c6286a7a","en"
"adc164c3-17f9-445e-add7-8c2e7dc8a9ed","fr"
"395a9de5-789f-4c33-aa6b-dbb2b7965c0a","en"
"276b6dca-225a-4eda-b9c1-00e52bc0c69a","en"
"c936c490-1438-4efb-8f87-765d82784e9d","en"
"4d14a076-2e51-4e57-9d00-8f22d9dc2e7d","id"
"d190c462-764c-41b2-b315-034cab25640b","en"
"d01d2f70-ce2c-4c7b-8270-a2ca3285a20a","pt-br"
"e465a3f0-7a71-4a4a-b08a-4aaa8a542dad","en"
"15b02454-1be9-487f-932e-9e606f56bd65","en"
"88301063-5747-4823-a9a8-0757e8001806","en"
"91804b15-2e99-45c4-9038-6a329cb26e35","ru"
"e7b4459e-55fe-4800-ac6f-6fb1d01482e5","en"
